,Dog Breed
145,malteser
146,mops
147,jack russell terrier
148,zwergdackel
149,yorkshire terrier
150,american pit bull terrier
151,american staffordshire terrier
152,american staffordshire terrier
153,beagle
154,chihuahua
155,chihuahua
156,dackel
157,dackel
158,deutscher schäferhund
159,deutscher schäferhund
160,english cocker spaniel
161,französische bulldogge
162,golden retriever
163,havaneser
164,jack russell terrier
165,labrador retriever
166,labrador retriever
167,magyar vizsla
168,malteser
169,mops
170,pekinese
171,pudel
172,zwergdackel
173,rottweiler
174,shih tzu
175,staffordshire bull terrier
176,west highland white terrier
177,whippet
178,yorkshire terrier
179,zwergpinscher
180,zwergpinscher
181,american staffordshire terrier
182,beagle
183,cavalier king charles spaniel
184,chihuahua
185,dackel
186,dackel
187,english cocker spaniel
188,französische bulldogge
189,golden retriever
190,havaneser
191,jack russell terrier
192,labrador retriever
193,magyar vizsla
194,malteser
195,mops
196,shih tzu
197,west highland white terrier
198,yorkshire terrier
199,zwergpinscher
200,zwergspitz
201,american staffordshire terrier
202,beagle
203,chihuahua
204,dackel
205,dackel
206,deutscher schäferhund
207,deutscher schäferhund
208,english cocker spaniel
209,golden retriever
210,golden retriever
211,havaneser
212,jack russell terrier
213,labrador retriever
214,labrador retriever
215,malteser
216,mops
217,west highland white terrier
218,yorkshire terrier
219,beagle
220,border collie
221,dackel
222,deutscher schäferhund
223,golden retriever
224,havaneser
225,jack russell terrier
226,labrador retriever
227,labrador retriever
228,magyar vizsla
229,malteser
230,mops
231,shih tzu
232,yorkshire terrier
233,american staffordshire terrier
234,beagle
235,chihuahua
236,collie
237,dackel
238,dackel
239,deutscher schäferhund
240,dogo argentino
241,english cocker spaniel
242,französische bulldogge
243,golden retriever
244,jack russell terrier
245,jack russell terrier
246,labrador retriever
247,labrador retriever
248,magyar vizsla
249,malteser
250,mops
251,jack russell terrier
252,pudel
253,zwergdackel
254,shih tzu
255,siberian husky
256,west highland white terrier
257,yorkshire terrier
258,zwergpinscher
259,akita inu
260,amerikanischer cocker spaniel
261,american pit bull terrier
262,american pit bull terrier
263,american staffordshire terrier
264,american staffordshire terrier
265,australian shepherd
266,beagle
267,beagle
268,deutscher schäferhund
269,berner sennenhund
270,berner sennenhund
271,bordeauxdogge
272,border collie
273,border collie
274,boxer
275,boxer
276,dackel
277,french bulldog
278,bullterrier
279,cane corso
280,cavalier king charles spaniel
281,chihuahua
282,chihuahua
283,chihuahua
284,chinesischer schopfhund
285,cocker spaniel
286,collie
287,dackel
288,dackel
289,dalmatiner
290,deutscher pinscher
291,deutscher schäferhund
292,deutscher schäferhund
293,dobermann
294,dogo argentino
295,foxterrier
296,foxterrier
297,english cocker spaniel
298,english cocker spaniel
299,flat-coated retriever
300,französische bulldogge
301,golden retriever
302,golden retriever
303,havaneser
304,havaneser
305,hovawart
306,jack russell terrier
307,jack russell terrier
308,kleiner münsterländer
309,labrador retriever
310,labrador retriever
311,dackel
312,lhasa apso
313,magyar vizsla
314,malinois
315,malteser
316,malteser
317,mops
318,mops
319,papillon
320,jack russell terrier
321,pekinese
322,pekinese
323,pudel
324,pudel
325,zwergdackel
326,rhodesian ridgeback
327,rottweiler
328,rottweiler
329,schnauzer
330,schnauzer
331,shar-pei
332,sheltie
333,shiba inu
334,shih tzu
335,shih tzu
336,siberian husky
337,siberian husky
338,spitz
339,staffordshire bull terrier
340,staffordshire bull terrier
341,tibetan terrier
342,weimaraner
343,weißer schweizer schäferhund
344,west highland white terrier
345,whippet
346,yorkshire terrier
347,yorkshire terrier
348,zwergpinscher
349,zwergpinscher
350,zwergpudel
351,zwergschnauzer
352,zwergspitz
353,zwergspitz
354,deutscher pinscher
355,airedale terrier
356,amerikanischer cocker spaniel
357,american pit bull terrier
358,american pit bull terrier
359,american staffordshire terrier
360,american staffordshire terrier
361,australian shepherd
362,beagle
363,deutscher schäferhund
364,berner sennenhund
365,berner sennenhund
366,border collie
367,border collie
368,boxer
369,dackel
370,french bulldog
371,bullterrier
372,cavalier king charles spaniel
373,chihuahua
374,chihuahua
375,chihuahua
376,cocker spaniel
377,collie
378,dackel
379,dackel
380,deutsche dogge
381,deutscher schäferhund
382,deutscher schäferhund
383,dobermann
384,dogo argentino
385,foxterrier
386,english cocker spaniel
387,english cocker spaniel
388,französische bulldogge
389,golden retriever
390,golden retriever
391,havaneser
392,havaneser
393,jack russell terrier
394,jack russell terrier
395,labrador retriever
396,labrador retriever
397,dackel
398,magyar vizsla
399,malinois
400,malteser
401,malteser
402,mops
403,papillon
404,jack russell terrier
405,pekinese
406,pekinese
407,pudel
408,pudel
409,zwergdackel
410,rhodesian ridgeback
411,rottweiler
412,rottweiler
413,schnauzer
414,schnauzer
415,shar-pei
416,sheltie
417,shih tzu
418,siberian husky
419,siberian husky
420,spitz
421,staffordshire bull terrier
422,staffordshire bull terrier
423,tibetan terrier
424,west highland white terrier
425,whippet
426,yorkshire terrier
427,yorkshire terrier
428,zwergpinscher
429,zwergpinscher
430,zwergpudel
431,zwergspitz
432,zwergspitz
433,american pit bull terrier
434,american pit bull terrier
435,american staffordshire terrier
436,american staffordshire terrier
437,beagle
438,beagle
439,berner sennenhund
440,bordeauxdogge
441,border collie
442,border collie
443,boxer
444,dackel
445,bullterrier
446,cavalier king charles spaniel
447,chihuahua
448,chihuahua
449,chihuahua
450,cocker spaniel
451,dackel
452,dackel
453,deutscher schäferhund
454,deutscher schäferhund
455,dobermann
456,dogo argentino
457,foxterrier
458,english cocker spaniel
459,english cocker spaniel
460,französische bulldogge
461,golden retriever
462,golden retriever
463,havaneser
464,havaneser
465,havaneser
466,jack russell terrier
467,jack russell terrier
468,labrador retriever
469,labrador retriever
470,malteser
471,malteser
472,mops
473,jack russell terrier
474,pekinese
475,pekinese
476,pudel
477,pudel
478,zwergdackel
479,rottweiler
480,schnauzer
481,shih tzu
482,siberian husky
483,staffordshire bull terrier
484,west highland white terrier
485,yorkshire terrier
486,yorkshire terrier
487,zwergpinscher
488,zwergpinscher
489,zwergpudel
490,zwergspitz
491,airedale terrier
492,american staffordshire terrier
493,american staffordshire terrier
494,australian shepherd
495,gebirgsschweisshund
496,beagle
497,berner sennenhund
498,border collie
499,border collie
500,boxer
501,dackel
502,cairn terrier
503,cavalier king charles spaniel
504,chihuahua
505,chihuahua
506,collie
507,dackel
508,dackel
509,dalmatiner
510,deutsche dogge
511,deutscher schäferhund
512,deutscher schäferhund
513,english cocker spaniel
514,entlebucher sennenhund
515,flat-coated retriever
516,französische bulldogge
517,golden retriever
518,golden retriever
519,havaneser
520,havaneser
521,hovawart
522,irish setter
523,jack russell terrier
524,jack russell terrier
525,kleiner münsterländer
526,labrador retriever
527,labrador retriever
528,lhasa apso
529,magyar vizsla
530,malteser
531,mops
532,jack russell terrier
533,pekinese
534,pekinese
535,pudel
536,zwergdackel
537,rottweiler
538,schnauzer
539,shih tzu
540,siberian husky
541,tibetan terrier
542,west highland white terrier
543,yorkshire terrier
544,zwergpinscher
545,zwergpinscher
546,zwergpudel
547,zwergspitz
548,american pit bull terrier
549,american pit bull terrier
550,american staffordshire terrier
551,american staffordshire terrier
552,australian shepherd
553,beagle
554,beagle
555,berner sennenhund
556,berner sennenhund
557,bolonka
558,border collie
559,border collie
560,boxer
561,dackel
562,bullterrier
563,cavalier king charles spaniel
564,chihuahua
565,chihuahua
566,chihuahua
567,cocker spaniel
568,collie
569,dackel
570,dackel
571,deutsche dogge
572,deutscher schäferhund
573,deutscher schäferhund
574,dobermann
575,dogo argentino
576,foxterrier
577,english cocker spaniel
578,english cocker spaniel
579,flat-coated retriever
580,französische bulldogge
581,golden retriever
582,golden retriever
583,havaneser
584,havaneser
585,hovawart
586,jack russell terrier
587,jack russell terrier
588,kleiner münsterländer
589,labrador retriever
590,labrador retriever
591,dackel
592,lhasa apso
593,magyar vizsla
594,malinois
595,malteser
596,malteser
597,mops
598,papillon
599,jack russell terrier
600,pekinese
601,pekinese
602,pudel
603,pudel
604,zwergdackel
605,rhodesian ridgeback
606,rottweiler
607,rottweiler
608,schnauzer
609,sheltie
610,shih tzu
611,shih tzu
612,siberian husky
613,siberian husky
614,staffordshire bull terrier
615,staffordshire bull terrier
616,weimaraner
617,west highland white terrier
618,whippet
619,yorkshire terrier
620,yorkshire terrier
621,zwergpinscher
622,zwergpinscher
623,zwergpudel
624,zwergschnauzer
625,zwergspitz
626,zwergspitz
627,american pit bull terrier
628,american pit bull terrier
629,american staffordshire terrier
630,american staffordshire terrier
631,beagle
632,border collie
633,chihuahua
634,chihuahua
635,collie
636,dackel
637,dackel
638,deutscher schäferhund
639,deutscher schäferhund
640,dobermann
641,foxterrier
642,english cocker spaniel
643,französische bulldogge
644,golden retriever
645,havaneser
646,jack russell terrier
647,jack russell terrier
648,labrador retriever
649,labrador retriever
650,magyar vizsla
651,malteser
652,malteser
653,mops
654,pekinese
655,pudel
656,zwergdackel
657,rottweiler
658,schnauzer
659,sheltie
660,shih tzu
661,staffordshire bull terrier
662,west highland white terrier
663,yorkshire terrier
664,yorkshire terrier
665,zwergpinscher
666,zwergspitz
667,zwergspitz
668,amerikanischer cocker spaniel
669,american pit bull terrier
670,american pit bull terrier
671,american staffordshire terrier
672,american staffordshire terrier
673,australian shepherd
674,beagle
675,border collie
676,border collie
677,boxer
678,cavalier king charles spaniel
679,chihuahua
680,chihuahua
681,chihuahua
682,dackel
683,dackel
684,deutscher schäferhund
685,deutscher schäferhund
686,dogo argentino
687,english cocker spaniel
688,english cocker spaniel
689,flat-coated retriever
690,französische bulldogge
691,golden retriever
692,golden retriever
693,havaneser
694,havaneser
695,jack russell terrier
696,jack russell terrier
697,labrador retriever
698,labrador retriever
699,magyar vizsla
700,malteser
701,malteser
702,mops
703,papillon
704,jack russell terrier
705,pekinese
706,pekinese
707,pudel
708,zwergdackel
709,rhodesian ridgeback
710,rottweiler
711,schnauzer
712,sheltie
713,shih tzu
714,siberian husky
715,siberian husky
716,staffordshire bull terrier
717,west highland white terrier
718,yorkshire terrier
719,zwergpinscher
720,zwergpudel
721,zwergspitz
722,zwergspitz
723,american pit bull terrier
724,american staffordshire terrier
725,australian shepherd
726,beagle
727,berner sennenhund
728,berner sennenhund
729,border collie
730,border collie
731,boxer
732,dackel
733,cavalier king charles spaniel
734,chihuahua
735,chihuahua
736,chihuahua
737,cocker spaniel
738,dackel
739,dackel
740,deutscher schäferhund
741,deutscher schäferhund
742,english cocker spaniel
743,flat-coated retriever
744,französische bulldogge
745,golden retriever
746,golden retriever
747,havaneser
748,jack russell terrier
749,jack russell terrier
750,kleiner münsterländer
751,labrador retriever
752,labrador retriever
753,magyar vizsla
754,malteser
755,mops
756,pekinese
757,pudel
758,zwergdackel
759,rottweiler
760,schnauzer
761,shih tzu
762,siberian husky
763,siberian husky
764,staffordshire bull terrier
765,tibetan terrier
766,west highland white terrier
767,yorkshire terrier
768,yorkshire terrier
769,zwergpinscher
770,zwergpinscher
771,zwergpudel
772,zwergspitz
773,american pit bull terrier
774,american staffordshire terrier
775,beagle
776,border collie
777,border collie
778,boxer
779,bullterrier
780,cavalier king charles spaniel
781,chihuahua
782,chihuahua
783,dackel
784,dackel
785,deutscher schäferhund
786,deutscher schäferhund
787,foxterrier
788,english cocker spaniel
789,französische bulldogge
790,golden retriever
791,havaneser
792,havaneser
793,hovawart
794,jack russell terrier
795,jack russell terrier
796,kleiner münsterländer
797,labrador retriever
798,labrador retriever
799,magyar vizsla
800,malteser
801,mops
802,jack russell terrier
803,pudel
804,zwergdackel
805,shih tzu
806,siberian husky
807,west highland white terrier
808,yorkshire terrier
809,zwergpinscher
810,zwergpudel
811,zwergspitz
812,amerikanischer cocker spaniel
813,american pit bull terrier
814,american pit bull terrier
815,american staffordshire terrier
816,american staffordshire terrier
817,australian shepherd
818,beagle
819,berner sennenhund
820,berner sennenhund
821,border collie
822,border collie
823,boxer
824,dackel
825,french bulldog
826,bullterrier
827,cavalier king charles spaniel
828,chihuahua
829,chihuahua
830,chihuahua
831,cocker spaniel
832,collie
833,collie
834,dackel
835,dackel
836,dalmatiner
837,deutsche dogge
838,deutsche dogge
839,deutscher schäferhund
840,deutscher schäferhund
841,dobermann
842,foxterrier
843,english cocker spaniel
844,english setter
845,flat-coated retriever
846,französische bulldogge
847,golden retriever
848,golden retriever
849,großer münsterländer
850,havaneser
851,havaneser
852,hovawart
853,irish setter
854,jack russell terrier
855,jack russell terrier
856,kleiner münsterländer
857,labrador retriever
858,labrador retriever
859,magyar vizsla
860,malteser
861,malteser
862,mops
863,jack russell terrier
864,pekinese
865,pudel
866,pudel
867,zwergdackel
868,rhodesian ridgeback
869,rottweiler
870,rottweiler
871,schnauzer
872,shih tzu
873,siberian husky
874,siberian husky
875,staffordshire bull terrier
876,toy-pudel
877,weimaraner
878,weißer schweizer schäferhund
879,west highland white terrier
880,whippet
881,yorkshire terrier
882,yorkshire terrier
883,zwergpinscher
884,zwergpinscher
885,zwergpudel
886,zwergspitz
887,zwergspitz
888,american pit bull terrier
889,american pit bull terrier
890,american staffordshire terrier
891,american staffordshire terrier
892,australian shepherd
893,beagle
894,berner sennenhund
895,border collie
896,border collie
897,boxer
898,dackel
899,bullterrier
900,chihuahua
901,chihuahua
902,chihuahua
903,cocker spaniel
904,collie
905,dackel
906,dackel
907,deutscher schäferhund
908,deutscher schäferhund
909,foxterrier
910,english cocker spaniel
911,französische bulldogge
912,golden retriever
913,havaneser
914,havaneser
915,jack russell terrier
916,jack russell terrier
917,labrador retriever
918,labrador retriever
919,magyar vizsla
920,malteser
921,malteser
922,mops
923,jack russell terrier
924,pekinese
925,pekinese
926,pudel
927,pudel
928,zwergdackel
929,rottweiler
930,shih tzu
931,siberian husky
932,siberian husky
933,staffordshire bull terrier
934,west highland white terrier
935,yorkshire terrier
936,yorkshire terrier
937,zwergpinscher
938,zwergpinscher
939,zwergspitz
940,alaskan malamute
941,amerikanischer cocker spaniel
942,american pit bull terrier
943,american pit bull terrier
944,american staffordshire terrier
945,american staffordshire terrier
946,australian cattle dog
947,australian shepherd
948,beagle
949,beagle
950,bearded collie
951,deutscher schäferhund
952,deutscher schäferhund
953,berner sennenhund
954,berner sennenhund
955,bichon frisé
956,border collie
957,border collie
958,boxer
959,boxer
960,dackel
961,french bulldog
962,bullmastiff
963,bullterrier
964,cairn terrier
965,cane corso
966,cavalier king charles spaniel
967,chihuahua
968,chihuahua
969,chihuahua
970,chinesischer schopfhund
971,cocker spaniel
972,cocker spaniel
973,collie
974,collie
975,dackel
976,dackel
977,dalmatiner
978,dalmatiner
979,deutsche dogge
980,deutsche dogge
981,deutscher pinscher
982,deutscher schäferhund
983,deutscher schäferhund
984,dobermann
985,dogo argentino
986,foxterrier
987,english cocker spaniel
988,english cocker spaniel
989,entlebucher sennenhund
990,eurasier
991,flat-coated retriever
992,französische bulldogge
993,golden retriever
994,golden retriever
995,gordon setter
996,havaneser
997,havaneser
998,hovawart
999,irish setter
1000,jack russell terrier
1001,jack russell terrier
1002,kleiner münsterländer
1003,kleiner münsterländer
1004,labrador retriever
1005,labrador retriever
1006,landseer
1007,dackel
1008,magyar vizsla
1009,malinois
1010,malteser
1011,malteser
1012,mops
1013,mops
1014,neufundländer
1015,neufundländer
1016,papillon
1017,jack russell terrier
1018,pekinese
1019,pekinese
1020,pudel
1021,pudel
1022,zwergdackel
1023,rhodesian ridgeback
1024,riesenschnauzer
1025,rottweiler
1026,rottweiler
1027,schnauzer
1028,schnauzer
1029,scottish terrier
1030,shar-pei
1031,sheltie
1032,shiba inu
1033,shih tzu
1034,shih tzu
1035,siberian husky
1036,siberian husky
1037,spitz
1038,staffordshire bull terrier
1039,staffordshire bull terrier
1040,tervueren
1041,cocker spaniel
1042,tibetan terrier
1043,weimaraner
1044,weißer schweizer schäferhund
1045,west highland white terrier
1046,whippet
1047,yorkshire terrier
1048,yorkshire terrier
1049,zwergpinscher
1050,zwergpinscher
1051,zwergpudel
1052,zwergschnauzer
1053,zwergspitz
1054,zwergspitz
1055,airedale terrier
1056,akita inu
1057,alaskan malamute
1058,amerikanischer cocker spaniel
1059,american pit bull terrier
1060,american pit bull terrier
1061,american staffordshire terrier
1062,american staffordshire terrier
1063,australian shepherd
1064,beagle
1065,beagle
1066,deutscher schäferhund
1067,deutscher schäferhund
1068,berner sennenhund
1069,berner sennenhund
1070,bernhardiner
1071,bichon frisé
1072,bobtail
1073,bolonka
1074,bordeauxdogge
1075,border collie
1076,border collie
1077,border terrier
1078,boxer
1079,boxer
1080,dackel
1081,french bulldog
1082,bullmastiff
1083,bullterrier
1084,bullterrier
1085,cairn terrier
1086,cane corso
1087,cavalier king charles spaniel
1088,chihuahua
1089,chihuahua
1090,chihuahua
1091,chinesischer schopfhund
1092,chow chow
1093,cocker spaniel
1094,cocker spaniel
1095,collie
1096,collie
1097,dackel
1098,dackel
1099,dalmatiner
1100,dalmatiner
1101,deutsche dogge
1102,deutsche dogge
1103,deutsche dogge
1104,deutscher pinscher
1105,deutscher schäferhund
1106,deutscher schäferhund
1107,dobermann
1108,dogo argentino
1109,dogo argentino
1110,foxterrier
1111,elo
1112,english cocker spaniel
1113,english cocker spaniel
1114,english springer spaniel
1115,entlebucher sennenhund
1116,flat-coated retriever
1117,französische bulldogge
1118,foxterrier
1119,golden retriever
1120,golden retriever
1121,gordon setter
1122,großer münsterländer
1123,havaneser
1124,havaneser
1125,hollandse herdershond
1126,hovawart
1127,irish setter
1128,jack russell terrier
1129,jack russell terrier
1130,kleiner münsterländer
1131,kleiner münsterländer
1132,labrador retriever
1133,labrador retriever
1134,landseer
1135,dackel
1136,lhasa apso
1137,magyar vizsla
1138,malinois
1139,malteser
1140,malteser
1141,mops
1142,mops
1143,neufundländer
1144,englische bulldogge
1145,papillon
1146,jack russell terrier
1147,pekinese
1148,pekinese
1149,prager rattler
1150,pudel
1151,pudel
1152,zwergdackel
1153,rhodesian ridgeback
1154,riesenschnauzer
1155,rottweiler
1156,rottweiler
1157,schnauzer
1158,schnauzer
1159,shar-pei
1160,sheltie
1161,shiba inu
1162,shih tzu
1163,shih tzu
1164,siberian husky
1165,siberian husky
1166,afghanischer windhund
1167,spitz
1168,spitz
1169,staffordshire bull terrier
1170,staffordshire bull terrier
1171,cocker spaniel
1172,tibetan terrier
1173,toy-pudel
1174,weimaraner
1175,weißer schweizer schäferhund
1176,welsh terrier
1177,west highland white terrier
1178,whippet
1179,yorkshire terrier
1180,yorkshire terrier
1181,zwergpinscher
1182,zwergpinscher
1183,zwergpudel
1184,zwergschnauzer
1185,zwergspitz
1186,zwergspitz
1187,deutscher pinscher
1188,airedale terrier
1189,alaskan malamute
1190,amerikanischer cocker spaniel
1191,american pit bull terrier
1192,american pit bull terrier
1193,american staffordshire terrier
1194,american staffordshire terrier
1195,australian shepherd
1196,gebirgsschweisshund
1197,beagle
1198,beagle
1199,bearded collie
1200,deutscher schäferhund
1201,berner sennenhund
1202,berner sennenhund
1203,bichon frisé
1204,border collie
1205,border collie
1206,boxer
1207,dackel
1208,bullterrier
1209,cairn terrier
1210,cavalier king charles spaniel
1211,chihuahua
1212,chihuahua
1213,chihuahua
1214,cocker spaniel
1215,collie
1216,collie
1217,dackel
1218,dackel
1219,dalmatiner
1220,deutsche dogge
1221,deutsche dogge
1222,deutscher pinscher
1223,deutscher schäferhund
1224,deutscher schäferhund
1225,dobermann
1226,foxterrier
1227,english cocker spaniel
1228,entlebucher sennenhund
1229,flat-coated retriever
1230,französische bulldogge
1231,golden retriever
1232,golden retriever
1233,greyhound
1234,großer münsterländer
1235,havaneser
1236,havaneser
1237,hovawart
1238,irish setter
1239,jack russell terrier
1240,jack russell terrier
1241,kleiner münsterländer
1242,labrador retriever
1243,labrador retriever
1244,dackel
1245,magyar vizsla
1246,malinois
1247,malteser
1248,malteser
1249,mops
1250,papillon
1251,jack russell terrier
1252,pekinese
1253,pekinese
1254,pudel
1255,pudel
1256,puli
1257,zwergdackel
1258,rhodesian ridgeback
1259,rottweiler
1260,schapendoes
1261,schnauzer
1262,schnauzer
1263,sheltie
1264,shiba inu
1265,shih tzu
1266,shih tzu
1267,siberian husky
1268,siberian husky
1269,spitz
1270,staffordshire bull terrier
1271,tibetan terrier
1272,west highland white terrier
1273,whippet
1274,yorkshire terrier
1275,yorkshire terrier
1276,zwergpinscher
1277,zwergpinscher
1278,zwergpudel
1279,zwergschnauzer
1280,zwergspitz
1281,zwergspitz
1282,beagle
1283,chihuahua
1284,dackel
1285,deutscher schäferhund
1286,english cocker spaniel
1287,französische bulldogge
1288,golden retriever
1289,havaneser
1290,jack russell terrier
1291,labrador retriever
1292,labrador retriever
1293,malteser
1294,jack russell terrier
1295,pudel
1296,shih tzu
1297,toy-pudel
1298,west highland white terrier
1299,yorkshire terrier
1300,amerikanischer cocker spaniel
1301,american pit bull terrier
1302,american pit bull terrier
1303,american staffordshire terrier
1304,american staffordshire terrier
1305,australian shepherd
1306,beagle
1307,beagle
1308,berner sennenhund
1309,border collie
1310,border collie
1311,boxer
1312,bullterrier
1313,cavalier king charles spaniel
1314,chihuahua
1315,chihuahua
1316,chihuahua
1317,collie
1318,dackel
1319,dackel
1320,deutsche dogge
1321,deutscher schäferhund
1322,deutscher schäferhund
1323,dogo argentino
1324,english cocker spaniel
1325,english cocker spaniel
1326,französische bulldogge
1327,golden retriever
1328,golden retriever
1329,havaneser
1330,havaneser
1331,jack russell terrier
1332,jack russell terrier
1333,labrador retriever
1334,labrador retriever
1335,magyar vizsla
1336,malteser
1337,malteser
1338,mops
1339,jack russell terrier
1340,pekinese
1341,pekinese
1342,pudel
1343,zwergdackel
1344,rhodesian ridgeback
1345,rottweiler
1346,schnauzer
1347,shih tzu
1348,siberian husky
1349,siberian husky
1350,afghanischer windhund
1351,spitz
1352,staffordshire bull terrier
1353,west highland white terrier
1354,yorkshire terrier
1355,yorkshire terrier
1356,zwergpinscher
1357,zwergpinscher
1358,zwergspitz
1359,zwergspitz
1360,american pit bull terrier
1361,american staffordshire terrier
1362,american staffordshire terrier
1363,australian shepherd
1364,gebirgsschweisshund
1365,beagle
1366,berner sennenhund
1367,border collie
1368,border collie
1369,boxer
1370,dackel
1371,french bulldog
1372,cavalier king charles spaniel
1373,chihuahua
1374,cocker spaniel
1375,collie
1376,collie
1377,dackel
1378,dackel
1379,deutscher schäferhund
1380,deutscher schäferhund
1381,foxterrier
1382,english cocker spaniel
1383,flat-coated retriever
1384,französische bulldogge
1385,golden retriever
1386,golden retriever
1387,havaneser
1388,havaneser
1389,jack russell terrier
1390,jack russell terrier
1391,kleiner münsterländer
1392,labrador retriever
1393,labrador retriever
1394,magyar vizsla
1395,malteser
1396,malteser
1397,mops
1398,jack russell terrier
1399,pekinese
1400,pekinese
1401,pudel
1402,zwergdackel
1403,rhodesian ridgeback
1404,rottweiler
1405,shih tzu
1406,siberian husky
1407,siberian husky
1408,west highland white terrier
1409,whippet
1410,yorkshire terrier
1411,yorkshire terrier
1412,zwergpinscher
1413,zwergpinscher
1414,zwergpudel
1415,zwergspitz
1416,american staffordshire terrier
1417,beagle
1418,chihuahua
1419,chihuahua
1420,dackel
1421,dackel
1422,deutscher schäferhund
1423,deutscher schäferhund
1424,english cocker spaniel
1425,französische bulldogge
1426,golden retriever
1427,jack russell terrier
1428,labrador retriever
1429,labrador retriever
1430,malteser
1431,mops
1432,jack russell terrier
1433,zwergdackel
1434,yorkshire terrier
1435,american pit bull terrier
1436,american staffordshire terrier
1437,american staffordshire terrier
1438,beagle
1439,chihuahua
1440,chihuahua
1441,chihuahua
1442,dackel
1443,dackel
1444,deutscher schäferhund
1445,deutscher schäferhund
1446,english cocker spaniel
1447,französische bulldogge
1448,golden retriever
1449,havaneser
1450,jack russell terrier
1451,labrador retriever
1452,labrador retriever
1453,magyar vizsla
1454,malteser
1455,mops
1456,pekinese
1457,pudel
1458,zwergdackel
1459,rottweiler
1460,shih tzu
1461,spitz
1462,west highland white terrier
1463,whippet
1464,yorkshire terrier
1465,zwergpinscher
1466,zwergpinscher
1467,american staffordshire terrier
1468,australian shepherd
1469,beagle
1470,cavalier king charles spaniel
1471,chihuahua
1472,dackel
1473,dackel
1474,deutscher schäferhund
1475,english cocker spaniel
1476,französische bulldogge
1477,golden retriever
1478,havaneser
1479,jack russell terrier
1480,labrador retriever
1481,labrador retriever
1482,magyar vizsla
1483,malteser
1484,mops
1485,shih tzu
1486,west highland white terrier
1487,yorkshire terrier
1488,zwergpinscher
1489,american staffordshire terrier
1490,beagle
1491,chihuahua
1492,dackel
1493,dackel
1494,deutscher schäferhund
1495,english cocker spaniel
1496,golden retriever
1497,golden retriever
1498,havaneser
1499,jack russell terrier
1500,jack russell terrier
1501,labrador retriever
1502,labrador retriever
1503,malteser
1504,mops
1505,yorkshire terrier
1506,beagle
1507,border collie
1508,cavalier king charles spaniel
1509,deutscher schäferhund
1510,english cocker spaniel
1511,golden retriever
1512,havaneser
1513,jack russell terrier
1514,labrador retriever
1515,labrador retriever
1516,magyar vizsla
1517,malteser
1518,mops
1519,shih tzu
1520,american staffordshire terrier
1521,american staffordshire terrier
1522,berner sennenhund
1523,cavalier king charles spaniel
1524,chihuahua
1525,dackel
1526,dackel
1527,deutscher schäferhund
1528,dogo argentino
1529,english cocker spaniel
1530,französische bulldogge
1531,golden retriever
