,Dog Breed
428,zwergpinscher
429,zwergpinscher
430,zwergpudel
431,zwergspitz
432,zwergspitz
433,amerikanischer pit-bullterrier
434,amerikanischer pit-bullterrier
435,amerikanischer staffordshire-terrier
436,amerikanischer staffordshire-terrier
437,beagle
438,beagle
439,berner sennenhund
440,bordeauxdogge
441,border-collie
442,border-collie
443,boxer
444,bracke
445,bullterrier
446,cavalier king charles spaniel
447,chihuahua kurzhaariger schlag
448,chihuahua kurzhaariger schlag
449,chihuahua langhaariger schlag
450,cocker spaniel
451,dackel
452,dackel
453,deutscher schäferhund
454,deutscher schäferhund
455,dobermann
456,dogo argentino
457,drahthaar-foxterrier
458,englischer cockerspaniel
459,englischer cockerspaniel
460,französische bulldogge
461,golden retriever
462,golden retriever
463,havaneser
464,havaneser
465,havaneser
466,jack-russell-terrier
467,jack-russell-terrier
468,labrador retriever
469,labrador retriever
470,malteser
471,malteser
472,mops
473,parson-russell-terrier
474,pekinese
475,pekinese
476,pudel
477,pudel
478,rauhhaardackel (zwergdackel)
479,rottweiler
480,schnauzer
481,shih tzu
482,siberian husky
483,staffordshire-bullterrier
484,west highland white terrier
485,yorkshire terrier
486,yorkshire terrier
487,zwergpinscher
488,zwergpinscher
489,zwergpudel
490,zwergspitz
491,airedale-terrier
492,amerikanischer staffordshire-terrier
493,amerikanischer staffordshire-terrier
494,australian shepherd dog
495,bayerischer gebirgsschweisshund
496,beagle
497,berner sennenhund
498,border-collie
499,border-collie
500,boxer
501,bracke
502,cairn-terrier
503,cavalier king charles spaniel
504,chihuahua kurzhaariger schlag
505,chihuahua langhaariger schlag
506,collie
507,dackel
508,dackel
509,dalmatiner
510,deutsch drahthaar
511,deutscher schäferhund
512,deutscher schäferhund
513,englischer cockerspaniel
514,entlebucher sennenhund
515,flat coated retriever
516,französische bulldogge
517,golden retriever
518,golden retriever
519,havaneser
520,havaneser
521,hovawart
522,irish setter
523,jack-russell-terrier
524,jack-russell-terrier
525,kleiner münsterländer
526,labrador retriever
527,labrador retriever
528,lhasa apso
529,magyar vizsla
530,malteser
531,mops
532,parson-russell-terrier
533,pekinese
534,pekinese
535,pudel
536,rauhhaardackel (zwergdackel)
537,rottweiler
538,schnauzer
539,shih tzu
540,siberian husky
541,tibet-terrier
542,west highland white terrier
543,yorkshire terrier
544,zwergpinscher
545,zwergpinscher
546,zwergpudel
547,zwergspitz
548,amerikanischer pit-bullterrier
549,amerikanischer pit-bullterrier
550,amerikanischer staffordshire-terrier
551,amerikanischer staffordshire-terrier
552,australian shepherd dog
553,beagle
554,beagle
555,berner sennenhund
556,berner sennenhund
557,bolonka zwetna
558,border-collie
559,border-collie
560,boxer
561,bracke
562,bullterrier
563,cavalier king charles spaniel
564,chihuahua kurzhaariger schlag
565,chihuahua kurzhaariger schlag
566,chihuahua langhaariger schlag
567,cocker spaniel
568,collie
569,dackel
570,dackel
571,deutsche dogge
572,deutscher schäferhund
573,deutscher schäferhund
574,dobermann
575,dogo argentino
576,drahthaar-foxterrier
577,englischer cockerspaniel
578,englischer cockerspaniel
579,flat coated retriever
580,französische bulldogge
581,golden retriever
582,golden retriever
583,havaneser
584,havaneser
585,hovawart
586,jack-russell-terrier
587,jack-russell-terrier
588,kleiner münsterländer
589,labrador retriever
590,labrador retriever
591,langhaardackel
592,lhasa apso
593,magyar vizsla
594,malinois
595,malteser
596,malteser
597,mops
598,papillon
599,parson-russell-terrier
600,pekinese
601,pekinese
602,pudel
603,pudel
604,rauhhaardackel (zwergdackel)
605,rhodesian ridgeback
606,rottweiler
607,rottweiler
608,schnauzer
609,sheltie
610,shih tzu
611,shih tzu
612,siberian husky
613,siberian husky
614,staffordshire-bullterrier
615,staffordshire-bullterrier
616,weimaraner
617,west highland white terrier
618,whippet
619,yorkshire terrier
620,yorkshire terrier
621,zwergpinscher
622,zwergpinscher
623,zwergpudel
624,zwergschnauzer
625,zwergspitz
626,zwergspitz
627,amerikanischer pit-bullterrier
628,amerikanischer pit-bullterrier
629,amerikanischer staffordshire-terrier
630,amerikanischer staffordshire-terrier
631,beagle
632,border-collie
633,chihuahua kurzhaariger schlag
634,chihuahua kurzhaariger schlag
635,collie
636,dackel
637,dackel
638,deutscher schäferhund
639,deutscher schäferhund
640,dobermann
641,drahthaar-foxterrier
642,englischer cockerspaniel
643,französische bulldogge
644,golden retriever
645,havaneser
646,jack-russell-terrier
647,jack-russell-terrier
648,labrador retriever
649,labrador retriever
650,magyar vizsla
651,malteser
652,malteser
653,mops
654,pekinese
655,pudel
656,rauhhaardackel (zwergdackel)
657,rottweiler
658,schnauzer
659,sheltie
660,shih tzu
661,staffordshire-bullterrier
662,west highland white terrier
663,yorkshire terrier
664,yorkshire terrier
665,zwergpinscher
666,zwergspitz
667,zwergspitz
668,amerikanischer cockerspaniel
669,amerikanischer pit-bullterrier
670,amerikanischer pit-bullterrier
671,amerikanischer staffordshire-terrier
672,amerikanischer staffordshire-terrier
673,australian shepherd dog
674,beagle
675,border-collie
676,border-collie
677,boxer
678,cavalier king charles spaniel
679,chihuahua kurzhaariger schlag
680,chihuahua kurzhaariger schlag
681,chihuahua langhaariger schlag
682,dackel
683,dackel
684,deutscher schäferhund
685,deutscher schäferhund
686,dogo argentino
687,englischer cockerspaniel
688,englischer cockerspaniel
689,flat coated retriever
690,französische bulldogge
691,golden retriever
692,golden retriever
693,havaneser
694,havaneser
695,jack-russell-terrier
696,jack-russell-terrier
697,labrador retriever
698,labrador retriever
699,magyar vizsla
700,malteser
701,malteser
702,mops
703,papillon
704,parson-russell-terrier
705,pekinese
706,pekinese
707,pudel
708,rauhhaardackel (zwergdackel)
709,rhodesian ridgeback
710,rottweiler
711,schnauzer
712,sheltie
713,shih tzu
714,siberian husky
715,siberian husky
716,staffordshire-bullterrier
717,west highland white terrier
718,yorkshire terrier
719,zwergpinscher
720,zwergpudel
721,zwergspitz
722,zwergspitz
723,amerikanischer pit-bullterrier
724,amerikanischer staffordshire-terrier
725,australian shepherd dog
726,beagle
727,berner sennenhund
728,berner sennenhund
729,border-collie
730,border-collie
731,boxer
732,bracke
733,cavalier king charles spaniel
734,chihuahua kurzhaariger schlag
735,chihuahua kurzhaariger schlag
736,chihuahua langhaariger schlag
737,cocker spaniel
738,dackel
739,dackel
740,deutscher schäferhund
741,deutscher schäferhund
742,englischer cockerspaniel
743,flat coated retriever
744,französische bulldogge
745,golden retriever
746,golden retriever
747,havaneser
748,jack-russell-terrier
749,jack-russell-terrier
750,kleiner münsterländer
751,labrador retriever
752,labrador retriever
753,magyar vizsla
754,malteser
755,mops
756,pekinese
757,pudel
758,rauhhaardackel (zwergdackel)
759,rottweiler
760,schnauzer
761,shih tzu
762,siberian husky
763,siberian husky
764,staffordshire-bullterrier
765,tibet-terrier
766,west highland white terrier
767,yorkshire terrier
768,yorkshire terrier
769,zwergpinscher
770,zwergpinscher
771,zwergpudel
772,zwergspitz
773,amerikanischer pit-bullterrier
774,amerikanischer staffordshire-terrier
775,beagle
776,border-collie
777,border-collie
778,boxer
779,bullterrier
780,cavalier king charles spaniel
781,chihuahua kurzhaariger schlag
782,chihuahua langhaariger schlag
783,dackel
784,dackel
785,deutscher schäferhund
786,deutscher schäferhund
787,drahthaar-foxterrier
788,englischer cockerspaniel
789,französische bulldogge
790,golden retriever
791,havaneser
792,havaneser
793,hovawart
794,jack-russell-terrier
795,jack-russell-terrier
796,kleiner münsterländer
797,labrador retriever
798,labrador retriever
799,magyar vizsla
800,malteser
801,mops
802,parson-russell-terrier
803,pudel
804,rauhhaardackel (zwergdackel)
805,shih tzu
806,siberian husky
807,west highland white terrier
808,yorkshire terrier
809,zwergpinscher
810,zwergpudel
811,zwergspitz
812,amerikanischer cockerspaniel
813,amerikanischer pit-bullterrier
814,amerikanischer pit-bullterrier
815,amerikanischer staffordshire-terrier
816,amerikanischer staffordshire-terrier
817,australian shepherd dog
818,beagle
819,berner sennenhund
820,berner sennenhund
821,border-collie
822,border-collie
823,boxer
824,bracke
825,bulldog
826,bullterrier
827,cavalier king charles spaniel
