Dog Breed,Min Height,Max Height
Saarlooswolfhond,60,75
Saarloos-Wolfhund,60,75
Sakhalin Husky,53,60
Saluki,58,71
Samojede,48,60
Samoyed,48,60
Sandros Leisha Dog,50,60
Sarplaninac,54,62
Save-Bracke,46,55
Schapendoes,40,50
Schipperke,25,33
Schnauzer,45,50
Schnauzer pfeffersalz,45,50
Schnauzer schwarz,45,50
Schottischer Terrier,25,28
Schweizerische Laufhunde,47,59
Schweizerische Niederlaufhunde,35,43
Schwyzer Laufhund,49,59
Sealyham-Terrier,27,30
Segugio Italiano a pelo forte,52,60
Segugio Italiano a pelo raso,52,60
Segugio Maremmano,48,58
Shar-Pei,43,51
Sheltie,33,41
Shetland Sheepdog,33,40
Shiba Inu,35,41
Shih Tzu,20,28
Shikoku,43,55
Shiloh Shepherd,66,76
Siberian Husky,50,60
Silken Windsprite,47,60
Skye Terrier,25,26
Sloughi,61,72
Slovensky Cuvac,59,70
Slovensky Kopov,40,50
Smalandsstövare,42,54
Soft-Coated Wheaten Terrier,46,48
Spinone,60,70
Spinone Italiano,60,70
Spitz,18,22
Srpski Gonic,45,55
Srpski Trobojni Gonic,45,55
St. Bernhardshund Kurzhaar,65,80
St. Bernhardshund Langhaar,65,80
Stabyhond,48,53
Stabyhoun,48,53
Staffordshire Bull Terrier,36,41
Staffordshire-Bullterrier,36,41
Steirische Rauhaarbracke,45,53
Steirische Rauhhaarige Hochgebirgsbracke,45,53
Südrussischer Ovtcharka,65,78
Sussex Spaniel,38,41
Sussex-Spaniel,38,41
Taiwan Dog,48,52
Taiwanhund,43,53
Tervueren,56,66
Thai Bangkaew Dog,41,55
Thai Ridgeback Dog,51,61
Tibetan Mastiff,61,76
Tibetan Spaniel,24,28
Tibetdogge,61,76
Tibetischer Kyi Apso,61,66
Tibet-Spaniel,25,26
Tibet-Terrier,36,41
Tiroler Bracke,42,50
Tornjak,65,70
Tosa Inu,60,82
Toy-Pudel,24,28
Toypudel Apricot,24,28
Toypudel Braun,24,28
Toypudel Falb,24,28
Toypudel falb aus Mehrfarben,24,28
Toypudel Grau,24,28
Toypudel Rot,24,28
Toypudel Schwarz,24,28
Toypudel schwarz aus Mehrfarben,24,28
Toypudel Weiss,24,28
Tschechoslowakischer Wolfhund,60,65
Ungarische Bracke,55,65
Västgötaspets,31,33
Volpino,25,30
Volpino Italiano,24,30
Wachtelhund,45,54
Wäller,50,65
Weimaraner,59,67
Weimaraner Kurzhaar,59,70
Weimaraner Langhaar,59,70
Weißer Schweizer Schäferhund,55,66
Welsh Corgi Cardigan,25,33
Welsh Corgi Pembroke,25,30
Welsh Springer Spaniel,46,48
West Highland White Terrier,25,28
Wetterhoun,55,59
Whippet,44,56
Windhund,60,76
Wolfspitz,43,55
Wolfsspitz,43,55
Xoloitzcuintle Grande,50,65
Xoloitzcuintle Medio,38,51
Xoloitzcuintle Miniatura,25,35
Yorkshire Terrier,18,23
Zentralasiatischer Ovtcharka,65,78
Zentralasiatischer Owtscharka,65,78
Zwergpinscher,25,30
Zwergpudel,28,35
Zwergpudel falb aus Mehrfarben,28,35
Zwergpudel schwarz aus Mehrfarben,28,35
Zwergschäferhund,30,35
Zwergschnauzer,30,35
Zwergschnauzer pfeffer-salz,30,35
Zwergschnauzer schwarz,30,35
Zwergschnauzer schwarz-silber,30,35
Zwergschnauzer weiss,30,35
Zwergspitz,18,27
Zwergspitz (Pomeranian),18,24
