Anzahl der Hunde (absolut und pro 1.000 EinwohnerInnen) seit 2002 - Bezirke Wien | Number of dogs (absolute and per 1,000 inhabitants) since 2002 - districts of Vienna;;;;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;DOG_VALUE;DOG_DENSITY;;;;;;;;;;
AT13;90500;90500;2009;20090101; 969 ; 18,53 ;;;;;;;;;;
AT13;90600;90600;2009;20090101; 604 ; 20,69 ;;;;;;;;;;
AT13;90700;90700;2009;20090101; 535 ; 17,91 ;;;;;;;;;;
AT13;90800;90800;2009;20090101; 463 ; 19,59 ;;;;;;;;;;
AT13;90900;90900;2009;20090101; 824 ; 21,04 ;;;;;;;;;;
AT13;91000;91000;2009;20090101; 5.128 ; 29,60 ;;;;;;;;;;
AT13;91100;91100;2009;20090101; 3.278 ; 37,26 ;;;;;;;;;;
AT13;91200;91200;2009;20090101; 2.358 ; 27,12 ;;;;;;;;;;
AT13;91300;91300;2009;20090101; 1.881 ; 36,90 ;;;;;;;;;;
AT13;91400;91400;2009;20090101; 2.763 ; 32,90 ;;;;;;;;;;
AT13;91500;91500;2009;20090101; 1.279 ; 18,12 ;;;;;;;;;;
AT13;91600;91600;2009;20090101; 2.034 ; 21,52 ;;;;;;;;;;
AT13;91700;91700;2009;20090101; 1.358 ; 25,99 ;;;;;;;;;;
AT13;91800;91800;2009;20090101; 1.356 ; 28,48 ;;;;;;;;;;
AT13;91900;91900;2009;20090101; 2.526 ; 37,24 ;;;;;;;;;;
AT13;92000;92000;2009;20090101; 1.954 ; 23,83 ;;;;;;;;;;
AT13;92100;92100;2009;20090101; 6.380 ; 45,74 ;;;;;;;;;;
AT13;92200;92200;2009;20090101; 7.021 ; 45,84 ;;;;;;;;;;
AT13;92300;92300;2009;20090101; 3.928 ; 42,87 ;;;;;;;;;;
AT13;90000;90000;2010;20100101; 53.345 ; 31,57 ;;;;;;;;;;
AT13;90100;90100;2010;20100101; 502 ; 30,38 ;;;;;;;;;;
AT13;90200;90200;2010;20100101; 2.377 ; 25,09 ;;;;;;;;;;
AT13;90300;90300;2010;20100101; 2.007 ; 24,16 ;;;;;;;;;;
AT13;90400;90400;2010;20100101; 628 ; 20,70 ;;;;;;;;;;
AT13;90500;90500;2010;20100101; 999 ; 19,08 ;;;;;;;;;;
AT13;90600;90600;2010;20100101; 601 ; 20,50 ;;;;;;;;;;
AT13;90700;90700;2010;20100101; 555 ; 18,46 ;;;;;;;;;;
AT13;90800;90800;2010;20100101; 471 ; 20,10 ;;;;;;;;;;
AT13;90900;90900;2010;20100101; 839 ; 21,32 ;;;;;;;;;;
AT13;91000;91000;2010;20100101; 5.222 ; 29,88 ;;;;;;;;;;
AT13;91100;91100;2010;20100101; 3.496 ; 39,08 ;;;;;;;;;;
AT13;91200;91200;2010;20100101; 2.380 ; 27,21 ;;;;;;;;;;
AT13;91300;91300;2010;20100101; 1.897 ; 37,19 ;;;;;;;;;;
AT13;91400;91400;2010;20100101; 2.801 ; 33,31 ;;;;;;;;;;
AT13;91500;91500;2010;20100101; 1.291 ; 18,23 ;;;;;;;;;;
AT13;91600;91600;2010;20100101; 2.061 ; 21,74 ;;;;;;;;;;
AT13;91700;91700;2010;20100101; 1.380 ; 26,37 ;;;;;;;;;;
AT13;91800;91800;2010;20100101; 1.365 ; 28,62 ;;;;;;;;;;
AT13;91900;91900;2010;20100101; 2.593 ; 38,21 ;;;;;;;;;;
AT13;92000;92000;2010;20100101; 1.955 ; 23,82 ;;;;;;;;;;
AT13;92100;92100;2010;20100101; 6.681 ; 47,50 ;;;;;;;;;;
AT13;92200;92200;2010;20100101; 7.239 ; 46,54 ;;;;;;;;;;
AT13;92300;92300;2010;20100101; 4.005 ; 43,41 ;;;;;;;;;;
AT13;90000;90000;2011;20110101; 55.955 ; 32,86 ;;;;;;;;;;
AT13;90100;90100;2011;20110101; 518 ; 31,61 ;;;;;;;;;;
AT13;90200;90200;2011;20110101; 2.537 ; 26,62 ;;;;;;;;;;
AT13;90300;90300;2011;20110101; 2.087 ; 24,86 ;;;;;;;;;;
AT13;90400;90400;2011;20110101; 656 ; 21,48 ;;;;;;;;;;
AT13;90500;90500;2011;20110101; 1.039 ; 19,70 ;;;;;;;;;;
AT13;90600;90600;2011;20110101; 612 ; 20,88 ;;;;;;;;;;
AT13;90700;90700;2011;20110101; 593 ; 19,73 ;;;;;;;;;;
AT13;90800;90800;2011;20110101; 506 ; 21,64 ;;;;;;;;;;
AT13;90900;90900;2011;20110101; 870 ; 22,13 ;;;;;;;;;;
AT13;91000;91000;2011;20110101; 5.527 ; 31,30 ;;;;;;;;;;
AT13;91100;91100;2011;20110101; 3.665 ; 40,54 ;;;;;;;;;;
AT13;91200;91200;2011;20110101; 2.441 ; 27,73 ;;;;;;;;;;
AT13;91300;91300;2011;20110101; 1.969 ; 38,63 ;;;;;;;;;;
AT13;91400;91400;2011;20110101; 2.916 ; 34,48 ;;;;;;;;;;
AT13;91500;91500;2011;20110101; 1.328 ; 18,58 ;;;;;;;;;;
AT13;91600;91600;2011;20110101; 2.122 ; 22,35 ;;;;;;;;;;
AT13;91700;91700;2011;20110101; 1.469 ; 28,09 ;;;;;;;;;;
AT13;91800;91800;2011;20110101; 1.374 ; 28,88 ;;;;;;;;;;
AT13;91900;91900;2011;20110101; 2.750 ; 40,39 ;;;;;;;;;;
AT13;92000;92000;2011;20110101; 2.032 ; 24,49 ;;;;;;;;;;
AT13;92100;92100;2011;20110101; 7.061 ; 49,66 ;;;;;;;;;;
AT13;92200;92200;2011;20110101; 7.735 ; 48,83 ;;;;;;;;;;
AT13;92300;92300;2011;20110101; 4.148 ; 44,42 ;;;;;;;;;;
AT13;90000;90000;2012;20120101; 56.872 ; 33,12 ;;;;;;;;;;
AT13;90100;90100;2012;20120101; 524 ; 32,17 ;;;;;;;;;;
AT13;90200;90200;2012;20120101; 2.603 ; 26,95 ;;;;;;;;;;
AT13;90300;90300;2012;20120101; 2.131 ; 25,20 ;;;;;;;;;;
AT13;90400;90400;2012;20120101; 658 ; 21,42 ;;;;;;;;;;
AT13;90500;90500;2012;20120101; 1.052 ; 20,01 ;;;;;;;;;;
AT13;90600;90600;2012;20120101; 638 ; 21,71 ;;;;;;;;;;
AT13;90700;90700;2012;20120101; 581 ; 19,30 ;;;;;;;;;;
AT13;90800;90800;2012;20120101; 496 ; 21,05 ;;;;;;;;;;
AT13;90900;90900;2012;20120101; 891 ; 22,60 ;;;;;;;;;;
AT13;91000;91000;2012;20120101; 5.668 ; 31,78 ;;;;;;;;;;
AT13;91100;91100;2012;20120101; 3.717 ; 40,75 ;;;;;;;;;;
AT13;91200;91200;2012;20120101; 2.448 ; 27,66 ;;;;;;;;;;
AT13;91300;91300;2012;20120101; 2.009 ; 39,66 ;;;;;;;;;;
AT13;91400;91400;2012;20120101; 2.925 ; 34,42 ;;;;;;;;;;
AT13;91500;91500;2012;20120101; 1.359 ; 18,97 ;;;;;;;;;;
AT13;91600;91600;2012;20120101; 2.139 ; 22,35 ;;;;;;;;;;
AT13;91700;91700;2012;20120101; 1.496 ; 28,42 ;;;;;;;;;;
AT13;91800;91800;2012;20120101; 1.394 ; 29,27 ;;;;;;;;;;
AT13;91900;91900;2012;20120101; 2.790 ; 40,75 ;;;;;;;;;;
AT13;92000;92000;2012;20120101; 2.065 ; 24,77 ;;;;;;;;;;
AT13;92100;92100;2012;20120101; 7.142 ; 49,51 ;;;;;;;;;;
AT13;92200;92200;2012;20120101; 7.932 ; 48,98 ;;;;;;;;;;
AT13;92300;92300;2012;20120101; 4.214 ; 44,61 ;;;;;;;;;;
AT13;90000;90000;2013;20130101; 56.619 ; 32,52 ;;;;;;;;;;
AT13;90100;90100;2013;20130101; 497 ; 30,55 ;;;;;;;;;;
AT13;90200;90200;2013;20130101; 2.559 ; 26,42 ;;;;;;;;;;
AT13;90300;90300;2013;20130101; 2.106 ; 24,63 ;;;;;;;;;;
AT13;90400;90400;2013;20130101; 643 ; 20,75 ;;;;;;;;;;
AT13;90500;90500;2013;20130101; 1.026 ; 19,33 ;;;;;;;;;;
AT13;90600;90600;2013;20130101; 662 ; 21,98 ;;;;;;;;;;
AT13;90700;90700;2013;20130101; 580 ; 19,14 ;;;;;;;;;;
AT13;90800;90800;2013;20130101; 454 ; 18,97 ;;;;;;;;;;
AT13;90900;90900;2013;20130101; 869 ; 21,74 ;;;;;;;;;;
AT13;91000;91000;2013;20130101; 5.613 ; 30,74 ;;;;;;;;;;
AT13;91100;91100;2013;20130101; 3.682 ; 39,90 ;;;;;;;;;;
AT13;91200;91200;2013;20130101; 2.410 ; 26,89 ;;;;;;;;;;
AT13;91300;91300;2013;20130101; 1.983 ; 39,01 ;;;;;;;;;;
AT13;91400;91400;2013;20130101; 2.891 ; 33,52 ;;;;;;;;;;
AT13;91500;91500;2013;20130101; 1.384 ; 18,82 ;;;;;;;;;;
AT13;91600;91600;2013;20130101; 2.138 ; 21,91 ;;;;;;;;;;
AT13;91700;91700;2013;20130101; 1.463 ; 27,35 ;;;;;;;;;;
AT13;91800;91800;2013;20130101; 1.368 ; 28,40 ;;;;;;;;;;
AT13;91900;91900;2013;20130101; 2.803 ; 40,69 ;;;;;;;;;;
AT13;92000;92000;2013;20130101; 2.027 ; 24,14 ;;;;;;;;;;
AT13;92100;92100;2013;20130101; 7.095 ; 48,42 ;;;;;;;;;;
AT13;92200;92200;2013;20130101; 8.125 ; 49,16 ;;;;;;;;;;
AT13;92300;92300;2013;20130101; 4.241 ; 44,52 ;;;;;;;;;;
AT13;90000;90000;2014;20140101; 56.154 ; 31,78 ;;;;;;;;;;
AT13;90100;90100;2014;20140101; 482 ; 29,87 ;;;;;;;;;;
AT13;90200;90200;2014;20140101; 2.535 ; 25,45 ;;;;;;;;;;
AT13;90300;90300;2014;20140101; 2.097 ; 24,26 ;;;;;;;;;;
AT13;90400;90400;2014;20140101; 630 ; 20,03 ;;;;;;;;;;
AT13;90500;90500;2014;20140101; 1.024 ; 19,10 ;;;;;;;;;;
AT13;90600;90600;2014;20140101; 652 ; 21,31 ;;;;;;;;;;
AT13;90700;90700;2014;20140101; 589 ; 19,14 ;;;;;;;;;;
AT13;90800;90800;2014;20140101; 446 ; 18,37 ;;;;;;;;;;
AT13;90900;90900;2014;20140101; 861 ; 21,26 ;;;;;;;;;;
AT13;91000;91000;2014;20140101; 5.514 ; 29,57 ;;;;;;;;;;
AT13;91100;91100;2014;20140101; 3.629 ; 38,84 ;;;;;;;;;;
AT13;91200;91200;2014;20140101; 2.381 ; 26,20 ;;;;;;;;;;
AT13;91300;91300;2014;20140101; 1.979 ; 38,61 ;;;;;;;;;;
AT13;91400;91400;2014;20140101; 2.864 ; 32,70 ;;;;;;;;;;
AT13;91500;91500;2014;20140101; 1.361 ; 18,19 ;;;;;;;;;;
AT13;91600;91600;2014;20140101; 2.113 ; 21,33 ;;;;;;;;;;
AT13;91700;91700;2014;20140101; 1.457 ; 26,77 ;;;;;;;;;;
AT13;91800;91800;2014;20140101; 1.349 ; 27,89 ;;;;;;;;;;
AT13;91900;91900;2014;20140101; 2.769 ; 39,99 ;;;;;;;;;;
AT13;92000;92000;2014;20140101; 2.006 ; 23,79 ;;;;;;;;;;
AT13;92100;92100;2014;20140101; 7.063 ; 47,42 ;;;;;;;;;;
AT13;92200;92200;2014;20140101; 8.163 ; 48,48 ;;;;;;;;;;
AT13;92300;92300;2014;20140101; 4.187 ; 43,57 ;;;;;;;;;;
AT13;90000;90000;2015;20150101; 55.693 ; 30,99 ;;;;;;;;;;
AT13;90100;90100;2015;20150101; 467 ; 28,58 ;;;;;;;;;;
AT13;90200;90200;2015;20150101; 2.511 ; 24,69 ;;;;;;;;;;
AT13;90300;90300;2015;20150101; 2.088 ; 23,69 ;;;;;;;;;;
AT13;90400;90400;2015;20150101; 617 ; 19,47 ;;;;;;;;;;
AT13;90500;90500;2015;20150101; 1.022 ; 18,84 ;;;;;;;;;;
AT13;90600;90600;2015;20150101; 643 ; 20,74 ;;;;;;;;;;
AT13;90700;90700;2015;20150101; 599 ; 19,14 ;;;;;;;;;;
AT13;90800;90800;2015;20150101; 438 ; 17,86 ;;;;;;;;;;
AT13;90900;90900;2015;20150101; 854 ; 20,89 ;;;;;;;;;;
AT13;91000;91000;2015;20150101; 5.417 ; 28,55 ;;;;;;;;;;
AT13;91100;91100;2015;20150101; 3.577 ; 37,57 ;;;;;;;;;;
AT13;91200;91200;2015;20150101; 2.352 ; 25,50 ;;;;;;;;;;
AT13;91300;91300;2015;20150101; 1.976 ; 37,92 ;;;;;;;;;;
AT13;91400;91400;2015;20150101; 2.838 ; 31,78 ;;;;;;;;;;
AT13;91500;91500;2015;20150101; 1.338 ; 17,53 ;;;;;;;;;;
AT13;91600;91600;2015;20150101; 2.089 ; 20,74 ;;;;;;;;;;
AT13;91700;91700;2015;20150101; 1.451 ; 26,08 ;;;;;;;;;;
AT13;91800;91800;2015;20150101; 1.330 ; 27,04 ;;;;;;;;;;
AT13;91900;91900;2015;20150101; 2.735 ; 39,07 ;;;;;;;;;;
AT13;92000;92000;2015;20150101; 1.985 ; 23,21 ;;;;;;;;;;
